city_name,2009-1,2009-2,2009-3,2009-4,2010-1,2010-2,2010-3,2010-4,2011-1,2011-2,2011-3,2011-4,2012-1,2012-2,2012-3,2012-4,2013-1,2013-2,2013-3,2013-4,2014-1,2014-2,2014-3,2014-4,2015-1,2015-2,2015-3,2015-4,2016-1,2016-2,2016-3,2016-4,2017-1,2017-2,2017-3,2017-4
绍兴,,,,,,,,,100.0,109.14,98.82,112.37,112.71,114.04,111.37,117.36,108.28,125.01,124.49,131.36,131.62,125.33,135.29,119.9,121.75,115.85,117.4,115.97,111.0,112.53,112.12,108.84,101.52,103.28,106.68,108.79
绵阳,,,,,100.0,120.75,135.63,137.23,120.66,102.07,130.39,157.98,160.17,161.19,177.38,189.11,120.56,196.41,202.54,117.13,161.97,181.96,221.16,183.58,169.46,168.04,167.05,161.45,154.92,139.03,158.13,130.89,117.58,133.59,133.91,125.53
芜湖,,,,,,,,,100.0,103.7,109.37,108.0,113.72,106.1,106.69,109.99,103.8,111.44,113.68,99.89,113.37,106.18,110.72,106.96,118.04,105.81,88.69,101.13,106.1,94.86,99.37,90.96,97.07,96.19,91.99,95.11
苏州,100.0,77.11,64.28,85.21,98.95,120.27,115.43,108.25,124.81,120.28,134.77,152.53,133.4,137.41,134.87,137.62,143.75,141.93,158.36,159.12,153.77,150.67,158.9,151.12,156.84,149.84,157.93,156.46,155.65,159.68,164.17,175.3,179.16,187.96,202.77,207.2
蚌埠,,,,,100.0,89.84,104.81,136.47,142.44,160.46,164.44,176.72,173.91,185.51,195.68,191.72,182.57,196.36,202.7,225.11,230.08,246.02,241.09,197.45,144.52,219.92,188.78,235.03,222.13,196.73,182.23,218.92,153.59,167.19,164.23,216.93
襄阳,,,,,,,,,100.0,94.81,110.18,102.3,100.03,144.72,129.56,160.76,141.13,158.05,183.49,145.53,197.91,127.46,104.44,89.85,85.54,143.92,144.94,136.81,122.22,98.15,117.23,150.79,151.67,160.92,163.66,200.58
西安,,,,,100.0,133.96,131.77,160.54,234.62,218.71,221.99,249.79,254.01,225.17,193.69,228.78,271.91,292.11,281.91,260.42,274.07,346.38,300.29,283.97,292.65,275.5,254.81,241.96,229.92,247.98,267.44,286.13,264.25,297.19,318.83,320.58
贵阳,,,,,100.0,111.2,108.04,93.32,132.09,119.52,139.76,141.86,131.04,134.09,126.17,146.25,156.59,220.54,179.65,227.41,202.99,232.32,247.52,213.86,176.92,177.03,181.64,208.39,218.98,200.13,183.18,170.46,178.33,165.05,137.69,145.47
赣州,,,,,,,,,100.0,107.7,122.39,160.07,133.83,119.41,110.42,123.94,162.29,171.54,166.42,174.67,161.68,174.34,165.93,139.93,132.61,116.37,118.69,117.24,111.41,99.18,104.9,98.49,93.55,98.7,101.85,106.64
遵义,,,,,,,,,100.0,171.47,153.81,223.08,251.68,241.3,250.75,347.18,390.82,352.45,350.38,466.78,409.98,423.06,413.15,379.38,192.84,351.32,351.16,374.92,341.46,212.67,345.08,346.41,337.35,388.66,364.86,339.48
